,region,abb,X.1,X,abba,D,R,sum,Dem,Rep,Polarity
1,12001,alachua,43,28,gainesville,2,1,3,66.66666667,33.33333333,20 - 35
2,12003,baker,NA,NA,NA,NA,NA,NA,NA,NA,50
3,12005,bay,42,79,panama city beach,1,0,1,100,0,0 - 20
4,12007,bradford,NA,NA,NA,NA,NA,NA,NA,NA,50
5,12009,brevard,40,12,cape canaveral,0,6,6,0,100,80 - 100
6,12011,broward,39,17,davie,18,14,32,56.25,43.75,35 - 50
7,12013,calhoun,NA,NA,NA,NA,NA,NA,NA,NA,50
8,12015,charlotte,NA,NA,NA,NA,NA,NA,NA,NA,50
9,12017,citrus,38,37,inverness,0,1,1,0,100,80 - 100
10,12019,clay,37,45,keystone heights,0,4,4,0,100,80 - 100
11,12021,collier,36,62,naples,2,2,4,50,50,50
12,12023,columbia,35,27,fort white,0,1,1,0,100,80 - 100
13,12027,desoto,NA,NA,NA,NA,NA,NA,NA,NA,50
14,12029,dixie,33,69,old town,1,0,1,100,0,0 - 20
15,12031,duval,32,3,atlantic beach,6,6,12,50,50,50
16,12033,escambia,31,82,pensacola,1,2,3,33.33333333,66.66666667,65 - 80
17,12035,flagler,30,77,palm coast,0,1,1,0,100,80 - 100
18,12037,franklin,NA,NA,NA,NA,NA,NA,NA,NA,50
19,12039,gadsden,NA,NA,NA,NA,NA,NA,NA,NA,50
20,12041,gilchrist,NA,NA,NA,NA,NA,NA,NA,NA,50
21,12043,glades,NA,NA,NA,NA,NA,NA,NA,NA,50
22,12045,gulf,NA,NA,NA,NA,NA,NA,NA,NA,50
23,12047,hamilton,NA,NA,NA,NA,NA,NA,NA,NA,50
24,12049,hardee,NA,NA,NA,NA,NA,NA,NA,NA,50
25,12051,hendry,NA,NA,NA,NA,NA,NA,NA,NA,50
26,12053,hernando,29,11,brooksville,1,2,3,33.33333333,66.66666667,65 - 80
27,12055,highlands,28,47,lake placid,0,1,1,0,100,80 - 100
28,12057,hillsborough,27,10,brandon,13,17,30,43.33333333,56.66666667,50 - 65
29,12059,holmes,NA,NA,NA,NA,NA,NA,NA,NA,50
30,12061,indian river,25,104,vero beach,1,1,2,50,50,50
31,12063,jackson,NA,NA,NA,NA,NA,NA,NA,NA,50
32,12065,jefferson,NA,NA,NA,NA,NA,NA,NA,NA,50
33,12067,lafayette,NA,NA,NA,NA,NA,NA,NA,NA,50
34,12069,lake,24,36,howey-in-the-hills,0,3,3,0,100,80 - 100
35,12071,lee,23,7,bonita springs,3,3,6,50,50,50
36,12073,leon,22,99,tallahassee,6,6,12,50,50,50
37,12075,levy,NA,NA,NA,NA,NA,NA,NA,NA,50
38,12077,liberty,NA,NA,NA,NA,NA,NA,NA,NA,50
39,12079,madison,NA,NA,NA,NA,NA,NA,NA,NA,50
40,12081,manatee,21,2,anna maria,2,1,3,66.66666667,33.33333333,20 - 35
41,12083,marion,20,68,ocala,0,4,4,0,100,80 - 100
42,12085,martin,19,32,hobe sound,1,3,4,25,75,65 - 80
43,12086,miami-dade,18,56,miami,28,23,51,54.90196078,45.09803922,35 - 50
44,12087,monroe,17,44,key west,0,1,1,0,100,80 - 100
45,12089,nassau,16,23,fernandina beach,1,0,1,100,0,0 - 20
46,12091,okaloosa,15,55,mary esther,0,3,3,0,100,80 - 100
47,12093,okeechobee,NA,NA,NA,NA,NA,NA,NA,NA,50
48,12095,orange,14,71,orange,10,16,26,38.46153846,61.53846154,50 - 65
49,12097,osceola,13,46,kissimmee,3,0,3,100,0,0 - 20
50,12099,palm beach,12,41,jupiter,11,14,25,44,56,50
51,12101,pasco,11,52,land o' lakes,1,3,4,25,75,65 - 80
52,12103,pinellas,9,14,clearwater,2,5,7,28.57142857,71.42857143,65 - 80
53,12105,polk,8,4,bartow,1,4,5,20,80,80 - 100
54,12107,putnam,7,74,palatka,0,1,1,0,100,80 - 100
55,12109,st. johns,3,87,ponte vedra beach,1,0,1,100,0,0 - 20
56,12111,st. lucie,2,89,port st. lucie,0,2,2,0,100,80 - 100
57,12113,santa rosa,6,59,milton,2,0,2,100,0,0 - 20
58,12115,sarasota,5,91,sarasota,2,6,8,25,75,65 - 80
59,12117,seminole,4,1,altamonte springs,0,2,2,0,100,80 - 100
60,12119,sumter,NA,NA,NA,NA,NA,NA,NA,NA,50
61,12121,suwannee,NA,NA,NA,NA,NA,NA,NA,NA,50
62,12123,taylor,NA,NA,NA,NA,NA,NA,NA,NA,50
63,12125,union,NA,NA,NA,NA,NA,NA,NA,NA,50
64,12127,volusia,1,21,deltona,0,2,2,0,100,80 - 100
65,12129,wakulla,NA,NA,NA,NA,NA,NA,NA,NA,50
66,12131,walton,NA,NA,NA,NA,NA,NA,NA,NA,50
67,12133,washington,NA,NA,NA,NA,NA,NA,NA,NA,50
